StopId;Name;CoordinateX;CoordinateY;VehicleTypeId;NeighborStops
12222;Hulusi Kentmen Parkı;27,10725;38,37145;1;12221:22.12223:32.12754:57
12223;Hulusi Kentmen Parkı;27,10739;38,37116;1;12221:52.12222:32.12754:59
12224;Çiftlik;27,10855;38,36921;1;12225:15
12225;Çiftlik;27,10842;38,36928;1;12224:15
12226;Eski İzmir İlköğretim Okulu;27,10807;38,36705;1;12227:26
12227;Eski İzmir İlköğretim Okulu;27,10781;38,36706;1;12226:26
12228;Reşat Nuri;27,1064;38,3647;1;12229:57
12229;Reşat Nuri;27,10598;38,36432;1;12228:57
12230;Gürsel;27,10525;38,36332;1;12231:34
12231;Gürsel;27,105;38,36309;1;12230:34
12232;İzmir Anadolu Lisesi;27,10405;38,36028;1;12233:16
12233;İzmir Anadolu Lisesi;27,1039;38,36032;1;12232:16
12234;Ayarlar;27,10382;38,35701;1;12235:18
12235;Ayarlar;27,10365;38,35706;1;12234:18
12236;Çöp Fabrikası;27,10291;38,35426;1;12237:18
12237;Çöp Fabrikası;27,10275;38,35435;1;12236:18
12238;Türkeliler;27,100616;38,353255;1;12239:9.12240:176
12239;Türkeliler;27,100645;38,353337;1;12238:9.12240:183
12240;Uzundere;27,099089;38,352377;1;12238:176.12239:183
12255;Bozyaka Devlet Hastanesi;27,12691;38,39839;1;12256:58
12256;Bozyaka Devlet Hastanesi;27,126332;38,398363;1;12255:58
12257;Çevik Kuvvet;27,12204;38,39999;1;12260:55.12258:218
12258;Bahçeli Evler;27,12008;38,40094;1;12257:218.12259:226.100031:468
12259;Bahçelievler;27,11806;38,40196;1;10256:173.12258:226.100031:454
12260;Çevik Kuvvet;27,122454;38,399628;1;12257:55
12263;Spotçular;27,123476;38,401354;1;10612:220.12266:7.100031:496
12266;Spotçular;27,12355;38,40136;1;10612:219.12263:7.100031:500
12267;Yeşilyurt İtfaiye;27,11548;38,40178;1;12268:16
12268;Yeşilyurt İtfaiye;27,115456;38,401622;1;12267:16
12269;Cumhuriyet Ticaret Meslek Lisesi;27,11266;38,39988;1;12270:73.1000313:301
12270;Cumhuriyet Ticaret Meslek Lisesi;27,11211;38,3994;1;12269:73.1000313:295
12271;Yeşilyurt Çeşme;27,10845;38,39876;1;12272:111.12331:222.12334:220.1000313:347
12272;Yeşilyurt Çeşme;27,10741;38,39836;1;12271:111.12273:228.12274:211.12331:156.12334:166.1000313:441
12273;Yeşilyurt Devlet Hastanesi;27,10513;38,3984;1;12272:228.12274:21.1000314:372
12274;Yeşilyurt Devlet Hastanesi;27,105306;38,398281;1;12272:211.12273:21.1000314:391
12275;Yeşilyurt Huzurevi;27,10187;38,39846;1;12276:16.1000314:324
12276;Yeşilyurt Huzurevi;27,10203;38,39845;1;12275:16.1000314:320
12277;Basın Sitesi;27,10012;38,39768;1;12278:29.1000314:480
12278;Basın Sitesi;27,1004;38,3976;1;12277:29.1000314:470
12287;Osman Kibar;27,122795;38,397839;1;12288:58
12288;Osman Kibar;27,122368;38,397452;1;12287:58
12289;Gülyaka;27,119821;38,39527;1;12290:29
12290;Gülyaka;27,12002;38,39548;1;12289:29
12291;Üzümcü İlk Okulu;27,11867;38,39267;1;12292:20
12292;Üzümcü İlk Okulu;27,11881;38,39253;1;12291:20
12293;Emek Sitesi;27,118674;38,391057;1;12294:15
12294;Emek Sitesi;27,11866;38,39091;1;12293:15
12303;İzsu;27,11372;38,39685;1;12304:49
12304;İzsu;27,1133;38,3971;1;12303:49
12305;Defne;27,11512;38,39591;1;12306:43
12306;Defne;27,11485;38,39624;1;12305:43
12307;Öztepe;27,11651;38,395;1;12308:43
12308;Öztepe;27,1162;38,3953;1;12307:43
12315;Üzümcü İlköğretim Okulu;27,117232;38,393207;1;12316:22.12377:65
12316;Üzümcü İlköğretim Okulu;27,11704;38,39311;1;12315:22.12377:48
12317;Çakıl;27,11365;38,3928;1;12318:15.12324:99
12318;Çakıl;27,113544;38,3927;1;12317:15
12323;Yeşilyurt Merkez Cami;27,1135;38,3941;1;12324:43.12325:171
12324;Yeşilyurt Merkez Cami;27,11378;38,39378;1;12317:99.12323:43.12325:210
12325;Şehit Muzaffer Erdönmez İlköğretim Okulu;27,11192;38,39475;1;12323:171.12324:210.12326:110.12332:249.12367:197
12326;Şehit Muzaffer Erdönmez İlköğretim Okulu;27,110824;38,394675;1;12325:110.12332:186.12367:139
12331;Fidan;27,1074;38,3968;1;12271:222.12272:156.12334:25
12332;Mızraklı;27,11;38,39634;1;12325:249.12326:186.12367:52
12333;Yeşilyurt Devlet Hastanesi;27,10397;38,39639;1;12336:35
12334;Fidan;27,107636;38,39672;1;12271:220.12272:166.12331:25
12335;Şehit Erkan Özcan Lisesi;27,10201;38,39549;1;12338:20.12363:85.12364:74
12336;Yeşilyurt Devlet Hastanesi;27,104323;38,396395;1;12333:35
12337;Hasan Tahsin;27,099778;38,393918;1;12340:35
12338;Şehit Erkan Özcan Lisesi;27,10201;38,395293;1;12335:20.12363:94.12364:83
12339;Uğur Belger Parkı;27,09713;38,39193;1;12342:20
12340;Hasan Tahsin;27,09952;38,39368;1;12337:35
12341;Mermerci;27,09622;38,39013;1;12344:96
12342;Uğur Belger Parkı;27,09732;38,39188;1;12339:20
12343;Maliyeciler;27,09479;38,38865;1;12346:6
12344;Mermerci;27,0968;38,3909;1;12341:96
12345;Esendere;27,09282;38,38735;1;12348:14
12346;Maliyeciler;27,09478;38,38859;1;12343:6
12347;Şehit Üst Teğmen Sadullah Sever İlköğretim Okulu;27,09134;38,38669;1;12350:23
12348;Esendere;27,092955;38,387329;1;12345:14
12350;Şehit Üst Teğmen Sadullah Sever İlköğretim Okulu;27,091132;38,386582;1;12347:23
12363;Şehit Halit Taş Orta Okulu;27,10121;38,39578;1;12335:85.12338:94.12364:11
12364;Şehit Halit Taş Orta Okulu;27,10131;38,39574;1;12335:74.12338:83.12363:11
12367;Mızraklı;27,1104;38,396;1;12325:197.12326:139.12332:52
12368;Hasan Tahsin İlköğretim Okulu;27,110556;38,39204;1;12369:14.12405:246
12369;Hasan Tahsin İlköğretim Okulu;27,110412;38,392023;1;12368:14.12405:234
12376;Üzümcü Parkı;27,11623;38,39216;1;12377:82.12379:12
